OCC_CODE,OCC_TITLE,TOT_EMP_2016,perc_2016,TOT_EMP_2015,,TOT_EMP_2014,,TOT_EMP_2013,,TOT_EMP_2012,,A_MEAN_2016,A_MEAN_2015,A_MEAN_2014,A_MEAN_2013,A_MEAN_2012,A_MEDIAN_2016,A_MEDIAN_2015,A_MEDIAN_2014,A_MEDIAN_2013,A_MEDIAN_2012
Management occupations,Chief Executives,"223,260",3.15,"238,940",,"246,240",,"248,760",,"255,940",,194350,185850,180700,178400,176840,"181,210","175,110","173,320","171,610","168,140"
Management occupations,General and Operations Managers,"2,188,870",30.87,"2,145,140",,"2,049,870",,"1,973,700",,"1,899,460",,122090,119460,117200,116090,114850,"99,310","97,730","97,270","96,430","95,440"
Management occupations,Legislators,"53,670",0.76,"55,820",,"55,020",,"55,800",,"56,760",,44820,42530,40430,39320,38590,"23,470","20,500","20,180","20,620","19,780"
Management occupations,Advertising and Promotions Managers,"28,860",0.41,"29,340",,"29,340",,"28,530",,"28,420",,117810,113610,114700,112870,107060,"100,810","95,890","96,720","93,880","88,590"
Management occupations,Marketing Managers,"205,900",2.9,"192,890",,"184,490",,"174,010",,"171,430",,144140,140660,137400,133700,129870,"131,180","128,750","127,130","123,220","119,480"
Management occupations,Sales Managers,"365,230",5.15,"364,750",,"358,920",,"352,220",,"344,730",,135090,130400,126040,123150,119980,"117,960","113,860","110,660","108,540","105,260"
Management occupations,Public Relations and Fundraising Managers,"63,970",0.9,"60,380",,"56,920",,"53,730",,"53,520",,123360,119390,115400,111260,108260,"107,320","104,140","101,510","98,700","95,450"
Management occupations,Administrative Services Managers,"266,280",3.76,"270,080",,"268,730",,"269,500",,"264,090",,98930,94840,92250,90190,88660,"90,050","86,110","83,790","82,310","81,080"
Management occupations,Computer and Information Systems Managers,"352,510",4.97,"341,250",,"330,360",,"319,080",,"309,740",,145740,141000,136280,132570,129130,"135,800","131,600","127,640","123,950","120,950"
Management occupations,Financial Managers,"543,300",7.66,"531,120",,"518,030",,"499,320",,"484,910",,139720,134330,130230,126660,123260,"121,750","117,990","115,320","112,700","109,740"
Management occupations,Industrial Production Managers,"168,400",2.37,"169,390",,"167,200",,"165,340",,"160,550",,107060,103720,101640,99370,97490,"97,140","93,940","92,470","90,790","89,190"
Management occupations,Purchasing Managers,"71,750",1.01,"72,600",,"70,840",,"69,620",,"69,400",,117720,114130,111810,109640,106200,"111,590","108,120","106,090","103,780","100,170"
Management occupations,"Transportation, Storage, and Distribution Managers","113,270",1.6,"109,210",,"106,000",,"102,610",,"98,600",,97630,95130,93180,91220,88920,"89,190","86,630","85,400","83,890","81,830"
Management occupations,Compensation and Benefits Managers,"15,230",0.21,"15,930",,"16,380",,"17,570",,"19,960",,126900,121630,118670,112040,105920,"116,240","111,430","108,070","101,490","95,250"
Management occupations,Human Resources Managers,"129,810",1.83,"122,780",,"116,610",,"110,650",,"98,020",,120210,117080,114140,111180,109590,"106,910","104,440","102,780","100,800","99,720"
Management occupations,Training and Development Managers,"32,880",0.46,"31,430",,"29,870",,"28,340",,"27,350",,115180,111680,111030,107770,103810,"105,830","102,640","101,930","98,810","95,400"
Management occupations,"Farmers, Ranchers, and Other Agricultural Managers","4,560",0.06,"4,370",,"4,300",,"3,770",,"3,970",,75790,69880,72570,73210,73730,"66,360","64,170","68,050","70,110","69,300"
