title,code,Less than high school diploma,High school or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree,A_MEAN_2016
"Total, all occupations","Total, all occupations",8.6,23.9,21,9.4,22.8,9.9,4.2,
Chief executives,Management occupations,1.5,9,14.7,5.4,39.8,22.3,7.4,194350
General and operations managers,Management occupations,2.6,17.1,25.4,9.4,33,11.1,1.5,122090
Legislators,Management occupations,1.5,9,14.7,5.4,39.8,22.3,7.4,44820
Advertising and promotions managers,Management occupations,0.7,5,11.1,4.4,62.7,13.3,2.8,117810
Marketing managers,Management occupations,0.9,7.4,15.7,6.5,50.5,17.4,1.6,144140
Sales managers,Management occupations,0.9,7.4,15.7,6.5,50.5,17.4,1.6,135090
Public relations and fundraising managers,Management occupations,0.2,1.5,7.6,2.8,58.5,25.5,3.8,123360
Administrative services managers,Management occupations,2.1,17.9,26.1,12.1,29.7,10.3,1.7,98930
Computer and information systems managers,Management occupations,0.4,4,14,7.7,46.1,25.2,2.6,145740
Financial managers,Management occupations,1.1,10,17.6,7.9,41.2,19.7,2.5,139720
Industrial production managers,Management occupations,4.7,21.6,21.2,8.5,31,11.9,1.1,107060
Purchasing managers,Management occupations,0.8,10.8,19.2,7.7,39.9,18.5,3.1,117720
"Transportation, storage, and distribution managers",Management occupations,5.4,28.7,28.3,8.4,22.5,6.3,0.4,97630
Compensation and benefits managers,Management occupations,0.2,7.4,13.7,8.4,47.2,22.8,0.4,126900
Human resources managers,Management occupations,2.5,11.3,18.4,8.3,36.9,19.8,2.9,120210
Training and development managers,Management occupations,0.5,6.1,15.9,10.4,39.8,23,4.3,115180
"Farmers, ranchers, and other agricultural managers",Management occupations,11.6,35.1,19.6,9.5,20.1,3,1.1,75790
Construction managers,Management occupations,6.9,25.3,24.5,8.4,28.2,5.8,0.8,99510
"Education administrators, preschool and childcare center/program",Management occupations,0.9,5,7.5,4.9,24.1,43.7,13.9,52150
"Education administrators, elementary and secondary school",Management occupations,0.9,5,7.5,4.9,24.1,43.7,13.9,95390
"Education administrators, postsecondary",Management occupations,0.9,5,7.5,4.9,24.1,43.7,13.9,105770
"Education administrators, all other",Management occupations,0.9,5,7.5,4.9,24.1,43.7,13.9,84400
Architectural and engineering managers,Management occupations,0.8,3.5,6.9,4.2,45.1,33.8,5.8,143870
Food service managers,Management occupations,8.9,28.3,27.4,9.7,21.4,3.7,0.6,56010
Funeral service managers,Management occupations,2.8,13.8,18.6,7.5,36,17.7,3.6,88970
Gaming managers,Management occupations,4.7,24,33.5,11.6,19,6.6,0.7,79690
Lodging managers,Management occupations,3,16.9,26.3,10.6,33.6,8,1.5,59410
Medical and health services managers,Management occupations,1.3,8,15.9,11.9,30.6,24.3,8.1,109370
Natural sciences managers,Management occupations,0.9,1.2,3.4,3,33.2,34.7,23.7,136150
Postmasters and mail superintendents,Management occupations,2.8,13.8,18.6,7.5,36,17.7,3.6,71980
"Property, real estate, and community association managers",Management occupations,4.4,18.4,25.8,9,31,9.3,2.2,70290
Social and community service managers,Management occupations,0.9,7.3,13.9,5.5,38.3,28.6,5.5,70870
Emergency management directors,Management occupations,0,3.6,22.3,10.8,40,22.4,0.9,78060
"Managers, all other",Management occupations,2.8,13.8,18.6,7.5,36,17.7,3.6,112150
"Agents and business managers of artists, performers, and athletes",Business and financial operations occupations,2.1,11.1,23.1,5.4,43.1,10.1,5.1,86560
"Buyers and purchasing agents, farm products",Business and financial operations occupations,10.4,32.6,18.1,6.8,27.3,2.8,2.1,63910
"Wholesale and retail buyers, except farm products",Business and financial operations occupations,4.4,24.2,25.3,9.3,31.7,4.1,0.9,60040
"Purchasing agents, except wholesale, retail, and farm products",Business and financial operations occupations,1.6,16.8,24.6,10.8,36.2,8.9,1.1,67420
"Claims adjusters, examiners, and investigators",Business and financial operations occupations,1.1,14.8,23.8,10.6,40.2,7.3,2.2,64990
"Insurance appraisers, auto damage",Business and financial operations occupations,1.1,14.8,23.8,10.6,40.2,7.3,2.2,65930
Compliance officers,Business and financial operations occupations,1.1,7.9,18.1,8.4,40.4,17.1,7,70250
